time,lat,long,LAeq
1530318108.0,41.147703591,-8.610996883,68.6
1530318411.0,41.147703591,-8.610996883,68.8
1530318713.0,41.147703591,-8.610996883,69.7
1530319022.0,41.147703591,-8.610996883,70.2
1530319324.0,41.147703591,-8.610996883,71.5
1530319626.0,41.147703591,-8.610996883,70.0
1530319929.0,41.147703591,-8.610996883,70.4
1530320231.0,41.147703591,-8.610996883,71.4
1530320533.0,41.147703591,-8.610996883,68.6
1530320842.0,41.147703591,-8.610996883,69.8
1530321084.0,41.147703591,-8.610996883,71.8
1530321386.0,41.147703591,-8.610996883,68.4
1530321688.0,41.147703591,-8.610996883,69.3
1530321990.0,41.147703591,-8.610996883,68.6
1530322292.0,41.147703591,-8.610996883,67.9
1530322594.0,41.147703591,-8.610996883,68.9
1530322629.0,41.147703591,-8.610996883,68.9
1530322931.0,41.147703591,-8.610996883,69.4
1530323234.0,41.147703591,-8.610996883,68.9
1530323536.0,41.147703591,-8.610996883,70.3
1530323838.0,41.147703591,-8.610996883,70.0
1530324080.0,41.147703591,-8.610996883,71.9
1530324382.0,41.147703591,-8.610996883,69.6
1530324691.0,41.147703591,-8.610996883,69.3
1530324993.0,41.147703591,-8.610996883,72.2
1530325295.0,41.147703591,-8.610996883,67.8
1530325597.0,41.147703591,-8.610996883,68.4
1530325899.0,41.147703591,-8.610996883,71.1
1530326202.0,41.147703591,-8.610996883,69.8
1530326503.0,41.147703591,-8.610996883,68.3
1530326806.0,41.147703591,-8.610996883,67.4
1530327115.0,41.147703591,-8.610996883,67.7
1530327417.0,41.147703591,-8.610996883,70.3
1530327719.0,41.147703591,-8.610996883,70.5
1530328021.0,41.147703591,-8.610996883,70.3
1530328323.0,41.147703591,-8.610996883,68.2
1530328625.0,41.147703591,-8.610996883,68.6
1530328927.0,41.147703591,-8.610996883,67.6
1530329236.0,41.147703591,-8.610996883,68.5
1530329538.0,41.147703591,-8.610996883,69.0
1530329781.0,41.147703591,-8.610996883,67.7
1530330083.0,41.147703591,-8.610996883,68.3
1530330385.0,41.147703591,-8.610996883,70.0
1530330687.0,41.147703591,-8.610996883,70.7
1530330989.0,41.147703591,-8.610996883,70.8
1530331291.0,41.147703591,-8.610996883,70.1
1530331593.0,41.147703591,-8.610996883,69.2
1530331895.0,41.147703591,-8.610996883,69.2
1530332197.0,41.147703591,-8.610996883,70.8
1530332499.0,41.147703591,-8.610996883,69.9
1530332802.0,41.147703591,-8.610996883,69.7
1530333104.0,41.147703591,-8.610996883,69.3
1530333406.0,41.147703591,-8.610996883,71.3
1530333708.0,41.147703591,-8.610996883,70.5
1530334010.0,41.147703591,-8.610996883,70.2
1530334312.0,41.147703591,-8.610996883,68.7
1530334614.0,41.147703591,-8.610996883,69.5
1530334916.0,41.147703591,-8.610996883,69.5
1530335218.0,41.147703591,-8.610996883,68.6
1530335520.0,41.147703591,-8.610996883,67.9
1530335822.0,41.147703591,-8.610996883,69.6
1530336125.0,41.147703591,-8.610996883,67.0
1530336427.0,41.147703591,-8.610996883,70.1
1530336729.0,41.147703591,-8.610996883,70.3
1530337031.0,41.147703591,-8.610996883,68.8
1530337333.0,41.147703591,-8.610996883,69.1
1530337635.0,41.147703591,-8.610996883,70.8
1530337937.0,41.147703591,-8.610996883,71.0
1530338239.0,41.147703591,-8.610996883,76.0
1530338481.0,41.147703591,-8.610996883,74.1
1530338783.0,41.147703591,-8.610996883,71.9
1530339085.0,41.147703591,-8.610996883,71.9
1530339387.0,41.147703591,-8.610996883,71.8
1530339689.0,41.147703591,-8.610996883,75.3
1530339991.0,41.147703591,-8.610996883,77.8
1530340293.0,41.147703591,-8.610996883,75.0
1530340595.0,41.147703591,-8.610996883,69.6
1530340898.0,41.147703591,-8.610996883,71.8
1530341200.0,41.147703591,-8.610996883,71.8
1530341501.0,41.147703591,-8.610996883,71.2
1530341804.0,41.147703591,-8.610996883,70.8
1530342106.0,41.147703591,-8.610996883,69.7
1530342408.0,41.147703591,-8.610996883,71.3
1530342710.0,41.147703591,-8.610996883,73.6
1530343012.0,41.147703591,-8.610996883,74.9
1530343314.0,41.147703591,-8.610996883,70.3
1530343616.0,41.147703591,-8.610996883,71.4
1530343918.0,41.147703591,-8.610996883,74.1
1530344522.0,41.147703591,-8.610996883,71.9
1530344824.0,41.147703591,-8.610996883,71.1
1530345126.0,41.147703591,-8.610996883,70.5
1530345428.0,41.147703591,-8.610996883,71.5
1530345730.0,41.147703591,-8.610996883,72.1
1530346032.0,41.147703591,-8.610996883,75.4
1530346334.0,41.147703591,-8.610996883,72.1
1530346636.0,41.147703591,-8.610996883,71.6
1530346939.0,41.147703591,-8.610996883,71.1
1530347181.0,41.147703591,-8.610996883,70.4
1530347490.0,41.147703591,-8.610996883,71.5
1530347792.0,41.147703591,-8.610996883,75.0
1530348094.0,41.147703591,-8.610996883,71.4
1530348396.0,41.147703591,-8.610996883,72.9
1530348698.0,41.147703591,-8.610996883,70.7
1530349001.0,41.147703591,-8.610996883,73.3
1530349303.0,41.147703591,-8.610996883,73.9
1530349605.0,41.147703591,-8.610996883,71.8
1530349907.0,41.147703591,-8.610996883,71.8
1530350209.0,41.147703591,-8.610996883,72.3
1530350512.0,41.147703591,-8.610996883,71.3
1530350814.0,41.147703591,-8.610996883,72.2
1530351123.0,41.147703591,-8.610996883,71.5
1530351425.0,41.147703591,-8.610996883,84.0
1530351727.0,41.147703591,-8.610996883,72.6
1530352029.0,41.147703591,-8.610996883,71.9
1530352332.0,41.147703591,-8.610996883,72.2
1530352634.0,41.147703591,-8.610996883,71.8
1530352943.0,41.147703591,-8.610996883,75.7
1530353185.0,41.147703591,-8.610996883,75.8
1530353487.0,41.147703591,-8.610996883,72.0
1530353789.0,41.147703591,-8.610996883,71.0
1530354092.0,41.147703591,-8.610996883,72.8
1530354394.0,41.147703591,-8.610996883,86.3
1530354696.0,41.147703591,-8.610996883,72.4
1530354998.0,41.147703591,-8.610996883,74.5
1530355300.0,41.147703591,-8.610996883,71.3
1530355609.0,41.147703591,-8.610996883,70.7
1530355912.0,41.147703591,-8.610996883,82.2
1530356213.0,41.147703591,-8.610996883,82.2
1530356515.0,41.147703591,-8.610996883,72.3
1530356818.0,41.147703591,-8.610996883,73.6
1530357127.0,41.147703591,-8.610996883,89.5
1530357429.0,41.147703591,-8.610996883,71.4
1530357732.0,41.147703591,-8.610996883,76.4
1530358040.0,41.147703591,-8.610996883,72.1
1530358283.0,41.147703591,-8.610996883,71.4
1530358585.0,41.147703591,-8.610996883,72.7
1530358887.0,41.147703591,-8.610996883,80.9
1530359189.0,41.147703591,-8.610996883,71.8
1530359498.0,41.147703591,-8.610996883,75.0
1530359800.0,41.147703591,-8.610996883,71.5
1530360110.0,41.147703591,-8.610996883,71.5
1530360412.0,41.147703591,-8.610996883,74.1
1530360714.0,41.147703591,-8.610996883,77.4
1530361058.0,41.147703591,-8.610996883,72.3
1530361308.0,41.147703591,-8.610996883,72.1
1530361621.0,41.147703591,-8.610996883,71.8
1530361691.0,41.147703591,-8.610996883,71.8
1530361933.0,41.147703591,-8.610996883,74.2
1530362243.0,41.147703591,-8.610996883,72.3
1530362485.0,41.147703591,-8.610996883,71.2
1530362795.0,41.147703591,-8.610996883,82.9
1530363132.0,41.147703591,-8.610996883,73.6
1530363434.0,41.147703591,-8.610996883,74.9
1530363737.0,41.147703591,-8.610996883,84.0
1530363986.0,41.147703591,-8.610996883,74.2
1530364289.0,41.147703591,-8.610996883,75.7
1530364591.0,41.147703591,-8.610996883,74.1
1530364893.0,41.147703591,-8.610996883,73.1
1530365215.0,41.147703591,-8.610996883,80.1
1530365518.0,41.147703591,-8.610996883,83.4
1530365828.0,41.147703591,-8.610996883,73.9
1530366130.0,41.147703591,-8.610996883,87.4
1530366433.0,41.147703591,-8.610996883,73.5
1530366813.0,41.147703591,-8.610996883,85.3
1530367005.0,41.147703591,-8.610996883,73.8
1530367315.0,41.147703591,-8.610996883,73.8
1530367624.0,41.147703591,-8.610996883,74.3
1530367934.0,41.147703591,-8.610996883,81.5
1530368236.0,41.147703591,-8.610996883,74.8
1530368538.0,41.147703591,-8.610996883,77.2
1530368781.0,41.147703591,-8.610996883,77.2
1530369086.0,41.147703591,-8.610996883,74.6
1530369388.0,41.147703591,-8.610996883,73.8
1530369698.0,41.147703591,-8.610996883,73.9
1530370008.0,41.147703591,-8.610996883,86.3
1530370312.0,41.147703591,-8.610996883,75.5
1530370623.0,41.147703591,-8.610996883,74.6
1530370650.0,41.147703591,-8.610996883,74.6
1530370901.0,41.147703591,-8.610996883,73.3
1530371204.0,41.147703591,-8.610996883,72.7
1530371514.0,41.147703591,-8.610996883,73.0
1530371816.0,41.147703591,-8.610996883,72.1
1530372127.0,41.147703591,-8.610996883,73.1
1530372430.0,41.147703591,-8.610996883,72.4
1530372733.0,41.147703591,-8.610996883,74.2
