time,lat,long,NO2
1544093554.0,41.180222,-8.605194,77.8
1544093920.0,41.180222,-8.605194,77.8
1544094129.0,41.180222,-8.605194,79.2
1544094498.0,41.180222,-8.605194,79.2
1544094686.0,41.180222,-8.605194,79.2
1544095105.0,41.180222,-8.605194,79.1
1544095432.0,41.180222,-8.605194,79.1
1544095620.0,41.180222,-8.605194,79.1
1544095994.0,41.180222,-8.605194,84.4
1544096171.0,41.180222,-8.605194,84.4
1544096590.0,41.180222,-8.605194,84.4
1544096767.0,41.180222,-8.605194,85.0
1544097191.0,41.180222,-8.605194,85.0
1544097371.0,41.180222,-8.605194,85.0
1544097784.0,41.180222,-8.605194,75.3
1544098160.0,41.180222,-8.605194,75.3
1544098365.0,41.180222,-8.605194,75.3
1544098756.0,41.180222,-8.605194,69.7
1544098981.0,41.180222,-8.605194,69.7
1544099181.0,41.180222,-8.605194,69.7
1544099560.0,41.180222,-8.605194,56.4
1544099930.0,41.180222,-8.605194,56.4
1544100123.0,41.180222,-8.605194,56.4
1544100504.0,41.180222,-8.605194,58.2
1544100692.0,41.180222,-8.605194,58.2
1544101090.0,41.180222,-8.605194,58.2
1544101296.0,41.180222,-8.605194,53.3
1544101655.0,41.180222,-8.605194,53.3
1544102034.0,41.180222,-8.605194,53.3
1544102252.0,41.180222,-8.605194,56.5
1544102632.0,41.180222,-8.605194,56.5
1544102802.0,41.180222,-8.605194,56.5
1544103206.0,41.180222,-8.605194,61.2
1544103408.0,41.180222,-8.605194,61.2
1544103806.0,41.180222,-8.605194,61.2
1544104010.0,41.180222,-8.605194,66.2
1544104379.0,41.180222,-8.605194,66.2
1544104754.0,41.180222,-8.605194,66.2
1544104950.0,41.180222,-8.605194,62.1
1544105347.0,41.180222,-8.605194,62.1
1544105558.0,41.180222,-8.605194,62.1
1544105953.0,41.180222,-8.605194,50.1
1544106161.0,41.180222,-8.605194,50.1
1544106541.0,41.180222,-8.605194,50.1
1544106751.0,41.180222,-8.605194,52.8
1544107119.0,41.180222,-8.605194,52.8
1544107310.0,41.180222,-8.605194,52.8
1544107698.0,41.180222,-8.605194,49.2
1544107874.0,41.180222,-8.605194,49.2
1544108305.0,41.180222,-8.605194,49.2
1544108484.0,41.180222,-8.605194,46.0
1544108895.0,41.180222,-8.605194,46.0
1544109081.0,41.180222,-8.605194,46.0
1544109475.0,41.180222,-8.605194,58.5
