time,lat,long,windDirection
1550237155.0,41.180222,-8.605194,49.0
1550237458.0,41.180222,-8.605194,122.0
1550237824.0,41.180222,-8.605194,112.0
1550238065.0,41.180222,-8.605194,44.0
1550238425.0,41.180222,-8.605194,-175.0
1550238782.0,41.180222,-8.605194,-145.0
1550238929.0,41.180222,-8.605194,-166.0
1550239308.0,41.180222,-8.605194,90.0
1550239538.0,41.180222,-8.605194,95.0
1550239835.0,41.180222,-8.605194,-103.0
1550240230.0,41.180222,-8.605194,-74.0
1550240484.0,41.180222,-8.605194,-60.0
1550240759.0,41.180222,-8.605194,20.0
1550240814.0,41.180222,-8.605194,20.0
1550241184.0,41.180222,-8.605194,-177.0
1550241385.0,41.180222,-8.605194,-130.0
1550241695.0,41.180222,-8.605194,-113.0
1550241962.0,41.180222,-8.605194,-125.0
1550242300.0,41.180222,-8.605194,-141.0
1550242616.0,41.180222,-8.605194,-155.0
1550242847.0,41.180222,-8.605194,-118.0
1550243154.0,41.180222,-8.605194,-122.0
1550243532.0,41.180222,-8.605194,-169.0
1550243756.0,41.180222,-8.605194,-157.0
1550244081.0,41.180222,-8.605194,-108.0
1550244457.0,41.180222,-8.605194,-112.0
1550244686.0,41.180222,-8.605194,-86.0
1550245070.0,41.180222,-8.605194,-84.0
1550245242.0,41.180222,-8.605194,-108.0
1550245607.0,41.180222,-8.605194,-126.0
1550245972.0,41.180222,-8.605194,-138.0
1550246158.0,41.180222,-8.605194,-117.0
1550246493.0,41.180222,-8.605194,-116.0
1550246730.0,41.180222,-8.605194,-101.0
1550247033.0,41.180222,-8.605194,-109.0
1550247416.0,41.180222,-8.605194,-97.0
1550247643.0,41.180222,-8.605194,-118.0
1550247966.0,41.180222,-8.605194,-114.0
1550248322.0,41.180222,-8.605194,-100.0
